City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,trincomalee,8.5711,81.2335,301.46,72,100,10.22,LK,1718735472
202,nukus,42.4531,59.6103,305.14,27,0,6.17,UZ,1718735473
203,howrah,22.5892,88.3103,304.15,89,40,5.66,IN,1718735473
204,clarksville,36.5298,-87.3595,303.68,63,40,4.12,US,1718735441
205,essaouira,31.5125,-9.77,296.87,60,0,6.69,MA,1718735474
206,hadibu,12.65,54.0333,301.27,76,69,6.27,YE,1718735475
207,kerikeri,-35.2268,173.9474,287.54,94,100,0.89,NZ,1718735475
208,sandnessjoen,66.0217,12.6316,289.44,82,40,4.63,NO,1718735476
209,alma,48.5501,-71.6491,302.22,66,80,3.15,CA,1718735476
210,san rafael del yuma,18.4299,-68.6739,303.91,57,100,2.65,DO,1718735477
211,pisco,-13.7,-76.2167,293.18,68,75,2.57,PE,1718735477
212,mount pearl,47.5166,-52.7813,296.18,47,75,10.29,CA,1718735478
213,darovskoy,58.77,47.9564,291.7,96,0,1.66,RU,1718735478
214,fort bragg,35.139,-79.006,305.83,42,0,4.12,US,1718735479
215,port alfred,-33.5906,26.891,289.76,73,28,1.33,ZA,1718735479
216,francistown,-21.17,27.5079,290.49,44,0,2.76,BW,1718735480
217,tangalle,6.024,80.7911,299.24,87,22,4.61,LK,1718735434
218,la libertad,-2.2333,-80.9,297.96,73,40,4.12,EC,1718735481
219,bredasdorp,-34.5322,20.0403,287.04,85,100,3.9,ZA,1718735481
220,smithers,54.7804,-127.1743,289.33,67,40,2.57,CA,1718735482
221,fairfax,38.8501,-77.3497,307.38,54,40,4.63,US,1718735482
222,newport,51.5877,-2.9984,290.99,67,28,5.92,GB,1718735483
223,sierra grande,-41.606,-65.3557,283.63,44,3,1.38,AR,1718735483
224,whitehorse,60.7161,-135.0538,295.43,43,20,0.45,CA,1718735484
225,vila franca do campo,37.7167,-25.4333,294.38,99,22,3.18,PT,1718735484
226,tianpeng,30.9866,103.9393,296.41,85,100,2.44,CN,1718735484
227,hami,42.8,93.45,299.54,27,100,6.1,CN,1718735485
228,sibolga,1.7427,98.7792,298.51,80,100,1.24,ID,1718735485
